expr,min,lq,mean,median,uq,max,neval,name,variance,sd,dist_type,n,m,d
result,2596.888408,2602.368082,2623.9871437,2614.3578655,2640.497062,2670.666391,10,rank_distance_upgraded,749.704862158218,27.3807388899244,t-Student,500,300,20
result,7865.083539,7937.242313,7998.7020695,7969.300181,8063.892679,8168.870175,10,rank_distance_original,8334.12618972274,91.291435467533,mieszany,500,300,20
result,2582.697143,2607.789478,2649.810138,2642.964104,2677.449673,2752.464501,10,rank_distance_upgraded,2676.21700836903,51.7321660900549,mieszany,500,300,20
result,1091155.153236,1098654.678019,1239962.1809652,1112276.3263255,1214803.444381,1763684.754938,10,rank_distance_original,58166555483.8497,241177.435685534,jednostajny,2000,2500,20
result,289758.178845,293177.263667,293558.5396565,293940.4321115,294361.442431,295227.093596,10,rank_distance_upgraded,2262971.26968885,1504.31754283757,jednostajny,2000,2500,20
result,1087520.42675,1093237.335262,1422432.7436977,1366383.0747315,1733045.722416,1869334.753338,10,rank_distance_original,125220947511.952,353865.719605547,normalny,2000,2500,20
result,289704.506414,290218.185865,291056.9681113,290996.470767,291707.149292,292918.521517,10,rank_distance_upgraded,1126348.66804463,1061.29574956495,normalny,2000,2500,20
result,1086691.053289,1091852.545675,1285123.7687805,1097297.2387395,1475106.201791,1770659.692346,10,rank_distance_original,69302857987.3021,263254.359863806,gamma,2000,2500,20
result,290699.11131,291048.047228,292076.0487221,291875.2306365,292577.694949,294033.138651,10,rank_distance_upgraded,1305947.15880129,1142.78045083091,gamma,2000,2500,20
result,1083957.878592,1094578.933495,1226963.6316529,1096731.11785,1424956.44622,1765972.474185,10,rank_distance_original,55011744181.7426,234545.825334289,Poisson,2000,2500,20
result,289635.958905,290414.910759,290835.385839,290882.5188285,291490.954791,291751.22455,10,rank_distance_upgraded,492659.127377524,701.896806786813,Poisson,2000,2500,20
result,1090306.03932,1091869.910262,1094552.6572874,1094622.1857795,1097014.088523,1098539.117416,10,rank_distance_original,8683985.34918826,2946.8602527416,t-Student,2000,2500,20
result,290059.160172,291006.019709,291564.8859927,291770.1440095,292375.327779,292602.924865,10,rank_distance_upgraded,855226.787688952,924.784725051702,t-Student,2000,2500,20
result,1092767.834284,1097750.460397,1220953.2192001,1099453.674485,1360686.47576,1598290.701404,10,rank_distance_original,43150620989.0184,207727.275505694,mieszany,2000,2500,20
result,288929.699081,291225.562248,292946.5042393,293494.5181515,294487.620294,295621.018792,10,rank_distance_upgraded,4550507.40432638,2133.19183486305,mieszany,2000,2500,20
